station_mac,manufacturer,bssid,avg_power,total_packets
7A:AD:DA:18:B6:EE,NA,(not associated),-67,12
82:7B:50:25:81:BC,NA,(not associated),-41,12
86:5B:7A:36:7A:5A,NA,(not associated),-61,12
8E:93:FE:9A:20:51,NA,(not associated),-47,12
92:7A:FF:99:04:9A,NA,(not associated),-49,12
9E:28:F7:49:55:DC,NA,(not associated),-53,12
A2:20:BA:D6:11:85,NA,(not associated),-51,12
A2:66:D9:5C:65:BE,NA,(not associated),-53,12
A2:D9:EB:CE:1F:BE,NA,(not associated),-47,12
A6:1A:87:6B:06:D3,NA,(not associated),-59,12
AE:98:7E:EE:76:9A,NA,(not associated),-47,12
BE:A2:3D:E1:04:90,NA,(not associated),-53,12
C6:41:77:99:88:AA,NA,(not associated),-47,12
D2:48:E5:F2:45:3E,NA,(not associated),-51,12
DA:38:FC:21:76:B5,NA,(not associated),-47,12
DA:A1:19:9E:5F:8C,NA,(not associated),-59,12
E0:75:26:64:09:FE,China Dragon Technology Limited,(not associated),-59,12
E2:98:25:1F:45:DE,NA,(not associated),-59,12
E6:11:D2:96:53:D9,NA,(not associated),-61,12
EA:C6:BD:2D:F5:98,NA,(not associated),-45,12
FA:18:5C:EA:D3:66,NA,(not associated),-55,12
FA:39:A0:58:80:05,NA,(not associated),-39,12
02:14:78:1B:76:69,NA,(not associated),-55,11
06:22:F0:8F:66:40,NA,(not associated),-65,11
12:4F:57:7E:D6:69,NA,(not associated),-57,11
1A:4D:73:8B:88:B4,NA,(not associated),-57,11
1E:2B:3F:EE:6B:44,NA,(not associated),-49,11
22:17:EC:39:06:82,NA,00:25:00:FF:94:73,-70,11
22:DD:07:49:92:00,NA,(not associated),-31,11
2A:20:99:BE:E5:EF,NA,E8:28:C1:DC:B2:50,-61,11
2E:38:60:2B:F4:BA,NA,(not associated),-59,11
32:92:C8:D4:2D:7D,NA,(not associated),-63,11
4A:31:B1:76:5C:6E,NA,(not associated),-55,11
52:DB:80:76:08:7A,NA,(not associated),-65,11
5A:E0:42:35:D4:AB,NA,(not associated),-47,11
62:8B:0E:D1:BF:80,NA,(not associated),-45,11
66:D7:B1:8A:AC:EB,NA,(not associated),-57,11
6A:78:C5:66:DB:2E,NA,(not associated),-59,11
76:A7:1B:03:3B:30,NA,(not associated),-51,11
76:FB:38:3B:66:D8,NA,(not associated),-53,11
7A:AC:7F:97:B0:4E,NA,(not associated),-53,11
86:A4:E4:22:75:AF,NA,(not associated),-61,11
8A:64:10:B9:41:49,NA,(not associated),-41,11
96:C9:23:2F:1B:2B,NA,(not associated),-53,11
A2:64:B6:C3:AA:5D,NA,(not associated),-63,11
A4:02:B9:73:83:18,Intel Corporate,(not associated),-69,11
BA:C7:41:32:BE:15,NA,(not associated),-43,11
BA:D3:26:71:7B:7A,NA,(not associated),-35,11
C2:21:19:C9:9E:9D,NA,(not associated),-55,11
D2:45:17:5D:55:44,NA,(not associated),-55,11
D2:E4:62:15:6F:66,NA,(not associated),-35,11
D6:5E:6B:8D:59:41,NA,(not associated),-67,11
DA:A1:19:98:D2:A6,NA,(not associated),-61,11
EA:06:B1:05:B6:FD,NA,(not associated),-53,11
EE:BE:21:A1:A5:98,NA,(not associated),-55,11
F6:E2:D2:4D:6E:4C,NA,(not associated),-59,11
FA:10:2C:F7:0C:30,NA,(not associated),-51,11
FA:74:90:32:41:01,NA,(not associated),-45,11
FA:F6:EC:DA:BE:1B,NA,(not associated),-55,11
02:4F:59:FB:38:9A,NA,(not associated),-53,10
0A:0F:7E:94:9E:9D,NA,(not associated),-57,10
0E:48:73:62:D1:46,NA,(not associated),-53,10
